RegionID,SizeRank,RegionName,RegionType,StateName,Dic_2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,Dic_2020,Perc_Increase_5y
3,46,Alaska,State,AK,295837,297074,298236,298873,298640,297902,297174,297087,297083,297485,297776,298231,298419,298573,298423,298302,298205,298442,298935,299360,299649,300386,301520,302241,302319,301596,300971,300436,300035,300519,301147,302156,302325,302491,303450,304733,305632,305760,308243,311231,315737,316761,317827,317757,319115,319653,316809,314094,311573,311771,309649,307355,304104,303242,302540,302760,302647,303288,306184,309236,312877,5.76
4,22,Alabama,State,AL,122518,122790,123143,123466,123837,124144,124491,124729,125015,125256,125641,126086,126522,126848,127115,127413,127741,128094,128363,128685,129092,129641,130144,130541,131060,131586,132155,132650,133189,133789,134465,135173,135777,136283,136735,137263,137683,138162,138660,139191,139696,140205,140876,141570,142171,142613,143107,143711,144467,145216,146019,146851,147736,148652,149488,150354,151404,152682,154034,155367,156698,27.90
6,31,Arkansas,State,AR,112959,113274,113603,113973,114342,114756,115171,115528,115816,116115,116472,116842,117221,117621,117995,118426,118798,119238,119639,120189,120743,121245,121673,122107,122594,123084,123620,124114,124641,125109,125529,125899,126203,126589,126964,127412,127905,128399,128833,129188,129566,130055,130573,131051,131520,131983,132462,132670,132895,133139,133598,134086,134594,135080,135632,136266,136999,137768,138611,139701,140821,24.67
8,15,Arizona,State,AZ,212061,213708,215000,215872,216710,217740,218859,219476,220523,221631,223224,224784,226055,227013,228165,229527,230803,231981,233402,235144,236356,237648,238930,240453,241794,243337,245182,246907,248495,250104,251722,253194,254444,255787,256884,257828,258671,259804,260928,261940,262402,263552,265218,267162,268851,270075,271479,272866,274739,276585,278542,280858,283979,286842,289539,292364,295970,300263,304930,310073,315381,48.72
9,0,California,State,CA,464627,467736,470433,472171,474876,477484,480242,482650,485682,488476,491508,494090,496333,498796,501471,504655,507554,510853,514335,517319,520018,522977,526259,530174,534288,538592,542902,546544,549553,552516,555524,558023,559171,559399,559546,559798,559352,558638,557230,556340,557065,559746,563033,564783,565216,565425,566259,567409,569741,572862,576594,580304,583543,585655,587691,591769,598111,605587,613126,620823,628535,35.28
10,21,Colorado,State,CO,320300,322607,324970,327476,330269,332752,335099,337610,340213,342578,344726,347108,349529,352289,355033,357897,360326,362598,364819,366770,368631,370625,372910,375050,377621,379910,382160,384160,386660,389522,392260,394721,396758,398625,400448,402369,403562,404335,405388,406347,407258,407743,408767,409887,410999,411934,412446,412848,413756,415558,417314,419199,421113,423404,425562,428059,431032,434468,438487,442873,447460,39.70
11,28,Connecticut,State,CT,257208,257378,257784,257828,257508,257329,257233,257337,257283,257093,257449,258298,259268,260207,260822,261450,262272,263132,263943,264773,265690,266766,267603,268576,269066,269428,269504,269919,270369,270965,271684,272168,272627,272557,272573,272262,272645,272563,273135,273433,274128,274757,275184,275216,274805,274303,273925,273805,274042,275021,275794,276768,277691,278900,280539,282928,286023,289823,293962,298488,303010,17.81
12,49,District of Columbia,State,DC,604386,605663,607751,610374,613678,617593,620260,621907,623711,625192,625650,628717,632403,638817,643412,647907,648994,648726,648125,649219,650481,652735,656057,658568,661465,662796,667854,667006,667928,670278,678263,685941,690085,693355,696495,699843,702587,704658,704773,709456,712804,720135,722749,724202,723924,723283,723667,722306,723590,726049,729230,730675,733209,732423,732753,733967,738471,743709,748275,754380,758867,25.56
13,44,Delaware,State,DE,231476,231898,232558,233301,234294,235239,236412,237699,238650,239333,240085,240915,241991,242917,243339,243158,242447,242135,242197,242459,243186,244136,245273,246010,246284,246463,247557,249422,251412,252815,253565,254271,254798,255263,255777,256742,257903,259294,259923,260487,260471,260023,259538,259234,259368,259399,259122,258865,259121,259650,260438,260932,262057,263877,266125,268395,270546,273002,275911,278973,281958,21.81
14,3,Florida,State,FL,201426,202958,204598,206004,207421,208758,210243,211811,213311,214670,215915,217341,218718,220179,221519,222930,224456,225972,227484,228848,230325,231770,233231,234582,235926,236926,238063,239446,241036,242690,244133,245532,246729,247875,248908,249945,251052,252088,252803,253219,253611,254159,255011,256053,256734,257227,257700,258370,259019,259937,261192,262611,264018,265393,266762,268174,270102,272382,274912,277488,280248,39.13
16,8,Georgia,State,GA,157416,158244,159056,160001,160930,161801,162512,163145,163783,164322,165028,165807,166749,167536,168394,169249,170157,171066,172108,173275,174424,175772,177050,178439,179761,181167,182506,183677,184880,186168,187540,188871,190129,191309,192465,193575,194597,195512,196327,197337,198347,199405,200251,201097,201981,202821,203546,203957,204426,205059,206020,206959,207954,208972,210211,211571,213077,214759,216711,219078,221640,40.80
18,39,Hawaii,State,HI,633496,635336,637860,640244,642509,644458,647481,650788,656038,661346,665686,668425,671554,674358,676812,679293,682591,687618,691747,695134,696026,698381,701510,706225,709870,713055,716104,719001,721264,722047,723038,724903,728090,729715,730205,729761,729794,729994,730648,731501,730957,730036,729505,730876,731993,732161,731924,730721,729959,729391,729519,729785,731500,734244,737192,738923,741154,745096,750369,757238,764492,20.68
19,29,Iowa,State,IA,133018,133369,133729,134113,134486,134867,135294,135774,136212,136578,136976,137396,137901,138508,139111,139709,140247,140744,141265,141732,142227,142719,143188,143708,144238,144605,144927,145247,145799,146374,146734,147060,147436,147955,148450,148804,149179,149644,150302,150879,151352,151685,152167,152581,153103,153486,153902,154105,154378,154676,154954,155235,155503,155893,156287,156776,157170,157618,158076,158780,159443,19.87
20,38,Idaho,State,ID,194087,195984,197541,199083,199872,201175,202333,203779,205113,206779,208531,210145,211618,212451,213687,214903,217053,218826,220714,222510,224466,226562,228458,230604,232675,235016,237378,239847,242456,245635,249249,252910,255755,258166,260512,263136,265547,268054,270100,272588,274586,276920,278850,281214,283787,286426,288658,290062,291479,293039,295534,298061,301011,303839,307188,310641,314847,319717,325573,332518,340280,75.32
21,4,Illinois,State,IL,181129,181719,182748,183638,184398,184917,185572,186330,187060,187689,188395,189259,190192,191187,191950,192838,193666,194467,195100,195649,196341,197104,197941,198708,199534,200365,201032,201437,201850,202428,203166,203684,204089,204463,204794,205149,205385,205534,205833,206186,206721,207264,207762,208091,208200,207931,207626,207431,207583,207939,208190,208609,209014,209467,210034,210983,212268,214003,215944,217983,220012,21.47
22,14,Indiana,State,IN,124348,124879,125342,125696,125987,126379,126921,127615,128271,128938,129550,130074,130519,130962,131576,132326,133157,133959,134687,135281,135951,136611,137490,138331,139216,139886,140630,141498,142489,143407,144348,145385,146359,147146,147699,148399,149258,150306,151085,151793,152352,153144,153881,154627,155372,156182,157009,157585,158021,158491,159239,160032,160933,161778,162766,163819,164991,166319,167823,169586,171506,37.92
23,32,Kansas,State,KS,129937,130257,130701,131128,131520,131977,132459,133000,133495,134001,134482,134940,135437,135967,136552,137202,137891,138393,138794,139236,139803,140459,141117,141846,142588,143300,143929,144475,145002,145643,146292,146790,147206,147664,148154,148741,149267,149843,150349,150842,151316,151820,152453,153157,153783,154304,154706,154864,155142,155540,156198,156838,157560,158316,159069,159916,160929,162081,163418,165000,166638,28.25
24,25,Kentucky,State,KY,120377,120768,121266,121773,122321,122816,123394,123935,124491,125006,125620,126245,126872,127394,127893,128503,129188,129925,130586,131261,131905,132582,133192,133933,134629,135382,136057,136708,137252,137760,138308,138915,139398,139809,140167,140385,140742,141211,141947,142567,143225,144011,144852,145641,146229,146792,147299,147705,148215,148729,149347,149896,150513,151110,151731,152429,153422,154534,155805,157285,158709,31.84
25,24,Louisiana,State,LA,158372,158569,158892,158939,159186,159570,160131,160629,161084,161505,161842,162104,162248,162482,162633,163132,163687,164313,164625,164949,165240,165656,166042,166594,167182,167916,168508,168760,168753,168617,168731,168759,168963,168994,169143,168998,168807,168568,168592,168732,168914,169350,169776,170189,170278,170363,170351,170514,171055,171696,172281,172725,173287,173738,174169,174683,175403,176223,177108,178008,178675,12.82
26,13,Massachusetts,State,MA,367920,368714,370491,372225,374340,376097,377845,378675,379718,381461,383438,385795,387676,389375,390310,391463,393358,395628,398208,400813,402814,404773,406288,408500,410445,412531,415044,417510,419492,421116,422975,424915,426256,426639,426976,427034,427809,428221,428623,428472,429146,430360,432222,433006,433276,433505,433941,434583,435581,437483,439798,442301,444594,446962,449041,452339,456884,462386,468350,474671,480977,30.73
27,18,Maryland,State,MD,286234,286758,287602,288085,288922,290070,291003,292065,292803,294057,295031,296234,297098,298313,299361,300360,301071,301549,302367,302818,303800,304673,306020,307327,308536,309072,309827,310667,312145,313348,314467,315427,315941,316180,316278,316682,317255,318120,318815,319216,319466,320028,320750,321040,321173,321193,321379,321417,321607,322099,322699,323717,324812,326091,327489,329644,332331,335577,339038,342853,346931,21.21
28,40,Maine,State,ME,196220,197408,198252,198681,199548,200281,200947,201139,201843,203061,204432,205949,206938,207963,208788,209678,210850,212198,213694,215197,216272,217110,217835,218575,219357,220618,222245,223959,224804,225739,226816,228191,229339,230159,230730,231257,231964,232112,232324,232359,233200,234342,236024,237547,238628,239608,240643,241956,243146,244817,246447,248405,250287,252061,253530,255225,257715,260739,264129,267578,271326,38.28
30,7,Michigan,State,MI,130069,130794,131470,131960,132728,133544,134463,135378,136238,137298,138363,139346,140215,141069,141978,143014,144043,145178,146167,147010,147870,148733,149662,150648,151618,152835,154072,155284,156331,157389,158597,159726,160723,161486,162203,162850,163701,164392,165104,165585,166214,167245,168510,169604,170103,170478,170817,171353,171840,172555,173263,174187,175181,175949,176612,177609,179274,181292,183504,185751,188119,44.63
31,20,Minnesota,State,MN,210662,211950,213041,214013,214693,215356,216292,217530,219042,220380,221782,222998,224154,225118,226120,227354,228884,230613,232207,233544,234518,235543,236480,237771,239192,240793,242409,244016,245466,246688,247699,248668,249825,250834,251845,252625,253499,254443,255357,255996,256679,257647,258976,260227,261077,261948,262676,263337,264064,264863,265917,267053,268278,269463,270616,272015,273828,275825,278095,280623,283194,34.43
32,17,Missouri,State,MO,133920,134478,135117,135652,136141,136716,137320,138018,138654,139306,140022,140839,141533,142248,142963,143729,144445,144997,145580,146143,146827,147663,148488,149272,149972,150690,151358,152144,153007,153972,154813,155619,156378,156936,157463,157971,158707,159469,160238,160860,161442,162157,162833,163384,163641,163988,164391,164867,165343,165848,166481,167182,167977,168745,169702,170879,172398,174038,175785,177638,179561,34.08
